4,H T M A,A1@student.ctu.edu.vn,18-06-2001,123,,,,,,,
5,Nguyen Thi Tieu Phung,A2@student.ctu.edu.vn,18-06-2002,123,,,,,,,
6,Huynh Thien Vi,A3@student.ctu.edu.vn,18-06-2003,123,,,,,,,
7,Tran Ngoc Duy,A4@student.ctu.edu.vn,18-06-2004,123,,,,,,,
8,Luong Luu Minh Tan,A5@student.ctu.edu.vn,18-06-2005,123,,,,,,,
9,Nguyen Minh Quan,A6@student.ctu.edu.vn,18-06-2006,123,,,,,,,
10,Nguyen Van C,A7@student.ctu.edu.vn,18-06-2007,123,,,,,,,
11,Nguyen Van B,A8@student.ctu.edu.vn,18-06-2008,123,,,,,,,
12,N T T T,A9@student.ctu.edu.vn,18-06-2009,123,,,,,,,
13,H T V,A10@student.ctu.edu.vn,18-06-2010,123,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
